,id,name,average_rating,guests,room_type,house_type,beds,baths,is_new_listing,title,lat,lng,rate,amount,picture,reviews_count
0,29785752,Affordable studio in perfect location,4.72,2 guests,Studio,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.28697,-157.83842,$103,103,https://a0.muscache.com/im/pictures/debc6d79-dff7-4137-83ac-785e7287d8a9.jpg?im_w=720,106
1,53361538,High Floor Cozy Home,4.93,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.28798,-157.83371,$109,109,https://a0.muscache.com/im/pictures/miso/Hosting-53361538/original/b1b64fb7-3e65-4e74-b64e-3048df6661b1.jpeg?im_w=720,27
2,32498802,"Waialae Loft #3, optional car rental available.",4.33,3 guests,1 bedroom,private_room,2 beds,1 shared bath,False,Private room in Honolulu,21.28828,-157.81275,$54,54,https://a0.muscache.com/im/pictures/177c4b6b-5e7c-4c01-a6cf-897b259bf0b1.jpg?im_w=720,93
3,30065262,"Legal Modern Studio in Waikiki! ""Pro-Sanitized""",4.68,3 guests,Studio,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.28651,-157.83351,$106,106,https://a0.muscache.com/im/pictures/miso/Hosting-30065262/original/eb128cec-1b5a-4233-af64-1d368c11ce23.jpeg?im_w=720,82
4,35778216,Ala Wai,4.81,2 guests,Studio,entire_home,1 bed,1 bath,False,Apartment in Honolulu,21.28192,-157.82619,$113,113,https://a0.muscache.com/im/pictures/6005dd9a-ac53-4a26-b86d-c3dd917a66d9.jpg?im_w=720,131
5,43149630,Hawaii Sunrise Cottage,4.86,4 guests,1 bedroom,entire_home,3 beds,1 bath,False,Condo in Hauula,21.58934,-157.88942,$230,230,https://a0.muscache.com/im/pictures/eec3804a-75f4-48d2-8c6c-7ae208f234b8.jpg?im_w=720,37
6,49349309,Ala Moana Hotel 6F,4.65,2 guests,Studio,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.29085,-157.84017,$91,91,https://a0.muscache.com/im/pictures/381e8f36-e978-4f3f-b4fb-947e5185a2d5.jpg?im_w=720,23
7,34349080,ENCHANTED BAMBOO FOREST,4.95,2 guests,Studio,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.271,-157.82128,$150,150,https://a0.muscache.com/im/pictures/abe7ffb1-80f5-4043-9957-ca30c71d5f7d.jpg?im_w=720,61
8,23000806,The Best View Studio in Waikiki,4.94,2 guests,Studio,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.27195,-157.82169,$155,155,https://a0.muscache.com/im/pictures/270f3828-25c0-49f9-b079-62cf4cc2478a.jpg?im_w=720,102
9,14305359,"Great Value, Waikiki Studio, Convenient Spot!",4.73,3 guests,Studio,entire_home,2 beds,1 bath,False,Condo in Honolulu,21.28433,-157.83302,$124,124,https://a0.muscache.com/im/pictures/807cb85f-cec0-4e60-a885-b748651d6692.jpg?im_w=720,219
10,49469029,Modern & Well Equipped Studio at The Waikiki Grand,4.56,2 guests,Studio,entire_home,1 bed,1 bath,False,Apartment in Honolulu,21.27071,-157.82095,$110,110,https://a0.muscache.com/im/pictures/miso/Hosting-49469029/original/b207361e-9b54-4a71-848b-cda3ca9c9c01.jpeg?im_w=720,25
11,18350532,Ocean View Studio in Waikiki,4.85,2 guests,Studio,entire_home,1 bed,1 bath,False,Apartment in Honolulu,21.27658,-157.8223,$160,160,https://a0.muscache.com/im/pictures/2041aadc-d1e2-4711-8641-f16ca85b3b75.jpg?im_w=720,240
12,7069865,Waikiki Studio in perfect location,4.83,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.28778,-157.83814,$131,131,https://a0.muscache.com/im/pictures/64828145-5407-45eb-9f77-877d2f6bf604.jpg?im_w=720,200
13,12475627,"Cute Studio Close to Beach, WIFI, Only $79!!!!",4.45,2 guests,Studio,entire_home,1 bed,1 bath,False,Apartment in Honolulu,21.2739,-157.82272,$92,92,https://a0.muscache.com/im/pictures/4aa9284b-6c04-4e8c-a377-108a7bc27f29.jpg?im_w=720,136
14,49950197,"Waikiki Beach 2 min walk Restaurants, bars and lunch box shops are all close Please inquire in Japanese on the spacious lanai　　",4.84,2 guests,Studio,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.275726,-157.822769,$165,165,https://a0.muscache.com/im/pictures/45d5ef1c-7c4a-4cfe-9964-a7c437ed26c6.jpg?im_w=720,45
15,19861251,"OCEAN VIEW, WIFI, STUDIO, AC,FRIDGE,POOL, HOT TUB",4.37,4 guests,Studio,entire_home,2 beds,1 bath,False,Condo in Honolulu,21.28623,-157.83287,$108,108,https://a0.muscache.com/im/pictures/33c114e2-6195-436e-9566-4ea57bb51932.jpg?im_w=720,131
16,34342927,"*QUALITY,CONVENIENCE& COMFORT*WAIKIKI*FREE PARKING",4.92,3 guests,Studio,hotel_room,2 beds,1 private bath,False,Hotel room in Honolulu,21.28515,-157.83604,$142,142,https://a0.muscache.com/im/pictures/2825e9dd-839e-4aeb-90a0-a67aad267d0b.jpg?im_w=720,103
17,31498093,Hawaiian Happiness on a Budget!,4.81,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.27237,-157.82285,$128,128,https://a0.muscache.com/im/pictures/5abc5c63-636a-4a3f-85f2-f8641d4867ff.jpg?im_w=720,124
18,43046276,New Top Floor Corner Ocean/Beach View Condo,4.82,2 guests,Studio,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.2757,-157.82404,$144,144,https://a0.muscache.com/im/pictures/2370d5ec-361f-432d-8e32-f7786567fa9d.jpg?im_w=720,109
19,37667703,Islander's OCEAN VIEW-Legal Unit 2 blocks to beach,4.89,2 guests,Studio,entire_home,1 bed,1 bath,False,Condo in Honolulu,21.27476,-157.82274,$136,136,https://a0.muscache.com/im/pictures/612b18d4-35bc-4553-b342-b41814217788.jpg?im_w=720,210
0,45016629,WANDERLUST TREEHOUSE Book an experience!,4.99,2 guests,1 bedroom,entire_home,1 bed,1.5 baths,False,Treehouse in Crane Hill,34.06692,-87.02484,$445,445,https://a0.muscache.com/im/pictures/8daeb070-e9f1-40f1-a0c2-fb90682483d3.jpg?im_w=720,170
1,47242124,Gorgeous Beach Views - Lots of Amenities,4.67,4 guests,1 bedroom,entire_home,2 beds,1 bath,False,Condo in Orange Beach,30.2636,-87.60564,$150,150,https://a0.muscache.com/im/pictures/9596a37e-ecde-49d0-8e16-44750e4a629e.jpg?im_w=720,67
2,40824681,Beachfront - Amazing Location - Spectacular Views!,4.9,4 guests,1 bedroom,entire_home,2 beds,1 bath,False,Condo in Gulf Shores,30.24625,-87.69421,$161,161,https://a0.muscache.com/im/pictures/dc676a63-71ee-4ff5-8564-32c5619ee57e.jpg?im_w=720,141
3,46984771,***OCEAN/ BEACH...VIEW. RESORT STYLE ***,4.94,4 guests,1 bedroom,entire_home,2 beds,1 bath,False,Townhouse in Coden,30.43024,-88.10696,$165,165,https://a0.muscache.com/im/pictures/8c4cc722-e579-4505-ab0f-36d29461d30e.jpg?im_w=720,157
4,21025342,Quiet 2 bed 2 bath condo only steps to Wolf Bay,4.91,6 guests,2 bedrooms,entire_home,3 beds,2 baths,False,Condo in Orange Beach,30.29427,-87.57721,$152,152,https://a0.muscache.com/im/pictures/miso/Hosting-21025342/original/9d3c5419-bda0-4b8a-b616-b08c38d6dc32.jpeg?im_w=720,202
5,590362752716320643,"Water's Edge Cottage on Little Lagoon, Gulf Shores",5.0,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Cottage in Gulf Shores,30.24663,-87.78158,$188,188,https://a0.muscache.com/im/pictures/miso/Hosting-590362752716320643/original/3cd9777b-511a-4cc3-965d-4323d876b387.jpeg?im_w=720,13
6,45992825,"My cottage: Best Room- 3 mins to downtown.
Airbnb",4.8,2 guests,1 bedroom,private_room,1 bed,1 shared bath,False,Private room in Montgomery,32.37073,-86.29759,$48,48,https://a0.muscache.com/im/pictures/9c138217-bf46-47ca-b8e9-22bee63c2ca9.jpg?im_w=720,49
7,52789294,Smith Lake Cave with waterfalls & more,4.92,4 guests,1 bedroom,entire_home,2 beds,1 bath,False,Cave in Houston,34.09117,-87.25583,$482,482,https://a0.muscache.com/im/pictures/miso/Hosting-52789294/original/c1b4a236-c238-4038-b8bb-dad03e7c8b51.jpeg?im_w=720,25
8,545566346830549823,Studio condo with gorgeous views of Mobile Bay,5.0,3 guests,1 bedroom,entire_home,2 beds,1 bath,False,Condo in Daphne,30.63686,-87.91392,$101,101,https://a0.muscache.com/im/pictures/miso/Hosting-545566346830549823/original/46c339d8-0cd0-4d76-85c2-d0ad92004460.jpeg?im_w=720,9
9,52256869,Secluded Riverfront Cabin Oasis,4.75,3 guests,1 bedroom,entire_home,1 bed,1 bath,False,Cabin in Wadley,33.19158,-85.57951,$99,99,https://a0.muscache.com/im/pictures/44938d38-e6c2-4b25-9419-503ce7fcffdb.jpg?im_w=720,20
10,27631433,Whippoorwill Creek Ranch Cabin,4.95,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Cabin in Altoona,34.05622,-86.35825,$83,83,https://a0.muscache.com/im/pictures/eb044f41-e9da-426e-a423-16b7b2751d2b.jpg?im_w=720,136
11,47717213,The Short Final-We welcome pets,4.88,6 guests,3 bedrooms,entire_home,4 beds,2 baths,False,Home in Enterprise,31.35869,-85.85659,$181,181,https://a0.muscache.com/im/pictures/9b80c553-b580-437f-b53b-a86828e76308.jpg?im_w=720,50
12,36271140,LAKE FARM CABIN- Family Escape! Pet Friendly!,4.98,7 guests,2 bedrooms,entire_home,6 beds,1 bath,False,Cabin in Perry County,32.74339,-87.39497,$212,212,https://a0.muscache.com/im/pictures/miso/Hosting-36271140/original/e429754c-336f-4736-8dad-cd22f1fbc751.jpeg?im_w=720,155
13,49197407,Mary’s Cottage on Elmira! NEAR DOWNTOWN MOBILE!!,4.97,4 guests,2 bedrooms,entire_home,2 beds,1 bath,False,Home in Mobile,30.67938,-88.05686,$117,117,https://a0.muscache.com/im/pictures/1ee67b20-5bf0-4be8-a0e2-633d0ca1e3cc.jpg?im_w=720,67
14,16577952,Private Apartment in Historic Home Steps From UAB!,4.91,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Apartment in Birmingham,33.49255,-86.79659,$90,90,https://a0.muscache.com/im/pictures/f063dce6-bb62-4cbf-b66a-60b51f58e93f.jpg?im_w=720,718
15,46116458,4th floor BEACHFRONT breathtaking views 2bed/2bath,4.89,8 guests,2 bedrooms,entire_home,3 beds,2 baths,False,Condo in Gulf Shores,30.24595,-87.70791,$200,200,https://a0.muscache.com/im/pictures/d5f21a09-f972-4484-94be-5d5016f4f917.jpg?im_w=720,90
16,17457487,Yellow cottage with a view!,4.95,2 guests,Studio,entire_home,1 bed,1 bath,False,Guesthouse in Hartselle,34.47646,-86.83624,$94,94,https://a0.muscache.com/im/pictures/e1216cb1-4a8c-44bc-94a7-8047608136ff.jpg?im_w=720,394
17,23000072,Direct Gulf Front Studio on the Beach.,4.98,3 guests,Studio,entire_home,2 beds,1 bath,False,Condo in Orange Beach,30.25817,-87.63063,$187,187,https://a0.muscache.com/im/pictures/551086d5-450a-4811-b796-efbc7aaab819.jpg?im_w=720,249
18,52286336,Storybook Waterfront Cottage on Lay Lake!,4.97,4 guests,2 bedrooms,entire_home,2 beds,1 bath,False,Cottage in Sylacauga,33.09435,-86.47514,$178,178,https://a0.muscache.com/im/pictures/3a56183f-f723-48dd-83df-2f4059d610a1.jpg?im_w=720,31
19,50943548,Trendy New Condo in Historic Downtown Birmingham,5.0,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Condo in Birmingham,33.51444,-86.80263,$122,122,https://a0.muscache.com/im/pictures/miso/Hosting-50943548/original/c63e3077-63e6-40b8-9a0c-8e183aeeb156.jpeg?im_w=720,26
0,48351023,"Shorebird Cottage · Incredible View, Private Hot Tub, Bird Watching!",4.97,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Cottage in Homer,59.6396,-151.47891,$278,278,https://a0.muscache.com/im/pictures/prohost-api/Hosting-48351023/original/45c0b5ba-ae4a-4497-a966-64cd2108338e.jpeg?im_w=720,79
1,14519193,Cozy one bedroom apartment adjacent to Lake Hood.,4.94,3 guests,1 bedroom,entire_home,1 bed,1 bath,False,Apartment in Anchorage,61.18265,-149.95811,$87,87,https://a0.muscache.com/im/pictures/1a5805de-e7cb-4437-91e0-cecc460df701.jpg?im_w=720,222
2,22493777,Flattop Mtn Flat,4.91,4 guests,2 bedrooms,entire_home,2 beds,1 bath,False,Condo in Anchorage,61.19747,-149.78565,$101,101,https://a0.muscache.com/im/pictures/61593193-2080-4722-a2e4-3ced520b4a0e.jpg?im_w=720,124
3,49984208,Salted Roots Orange Door Cottage with Ocean View,5.0,4 guests,1 bedroom,entire_home,1 bed,1 bath,False,Cottage in Seward,60.07193,-149.43661,$360,360,https://a0.muscache.com/im/pictures/miso/Hosting-49984208/original/3361adab-da7e-4f1c-9922-1454a5cecc1f.jpeg?im_w=720,12
4,38978724,Cairn Cabin,,2 guests,1 bedroom,entire_home,1 bed,1 bath,False,Apartment in Denali National Park and Preserve,63.648735,-148.782745,$153,153,https://a0.muscache.com/im/pictures/miso/Hosting-38978724/original/122ed15f-24c9-4ad7-8dca-30731a351667.jpeg?im_w=720,0
5,582790703137138514,Private bedroom #1 with lots of amenities.,5.0,2 guests,1 bedroom,private_room,1 bed,2 shared baths,False,Private room in Anchorage,61.22666,-149.8081,$50,50,https://a0.muscache.com/im/pictures/miso/Hosting-582790703137138514/original/51564697-6194-4968-bde6-4457265ca28f.png?im_w=720,7
6,52172293,#6 Charm Bungalow // Cozy & Quaint Midtown Retreat,4.58,4 guests,1 bedroom,entire_home,2 beds,1 bath,False,Cottage in Anchorage,61.19799,-149.90045,$108,108,https://a0.muscache.com/im/pictures/miso/Hosting-52172293/original/860947cf-0f96-42e3-a68e-7fcf1ef1e6b5.jpeg?im_w=720,36
7,6291833,Cozy Alaskan Log Cabin,4.98,4 guests,1 bedroom,entire_home,1 bed,0 baths,False,Cabin in Fairbanks,64.88998,-147.7093,$109,109,https://a0.muscache.com/im/pictures/ab198c3e-322c-4911-9772-6bc677321a49.jpg?im_w=720,263
8,42859638,West Wind Cabins - The Slope,4.98,4 guests,1 bedroom,entire_home,1 bed,1 bath,False,Home in Homer,59.64382,-151.57919,$118,118,https://a0.muscache.com/im/pictures/miso/Hosting-42859638/original/6e5a4dbf-4c47-4363-8aca-bc8c5bb95605.jpeg?im_w=720,127
9,48548889,"Ranger's Cabin, a Tiny Alaskan Cabin in the Woods",4.96,4 guests,Studio,entire_home,2 beds,Half-bath,False,Cabin in Healy,63.88192,-149.11997,$172,172,https://a0.muscache.com/im/pictures/0fbb5d95-1329-4eda-b000-1410005317cb.jpg?im_w=720,122
10,14453381,Groovy Turnagain - Lemon Room,4.93,2 guests,1 bedroom,private_room,1 bed,1 shared bath,False,Private room in Anchorage,61.19639,-149.94772,$81,81,https://a0.muscache.com/im/pictures/miso/Hosting-14453381/original/7ef9ec5c-c539-4309-83db-30c1465b193a.jpeg?im_w=720,223
11,42795995,West Wind Cabins - The Point,4.94,6 guests,2 bedrooms,entire_home,4 beds,1 bath,False,Home in Homer,59.64345,-151.57759,$163,163,https://a0.muscache.com/im/pictures/miso/Hosting-42795995/original/399f5c56-41c9-430e-8c91-ee656055048d.jpeg?im_w=720,146
12,51930707,Luxe Mountain Hideaway w/ Hot Tub: Ski & Hike,5.0,6 guests,3 bedrooms,entire_home,3 beds,2 baths,False,Chalet in Anchorage,61.23398,-149.44877,$490,490,https://a0.muscache.com/im/pictures/miso/Hosting-51930707/original/90565d5f-d610-478e-966b-216b984d48b3.jpeg?im_w=720,28
13,22469767,Quiet Forest Cabin ·  Creekside Hot Tub!,4.91,4 guests,2 bedrooms,entire_home,3 beds,1 bath,False,Cabin in Anchorage,60.95604,-149.13081,$210,210,https://a0.muscache.com/im/pictures/1e1b2d54-be5b-4f63-8b27-5e931ace4ea8.jpg?im_w=720,130
